shap,b,h,t,l,fy,fc,et,eb,n,A
1.00,127.00,127.00,2.41,914.00,294.00,35.60,0.00,0.00,623.00,16129
1.00,127.00,127.00,2.41,914.00,294.00,35.60,0.00,0.00,658.00,16129
1.00,152.40,152.40,1.55,914.00,336.00,21.40,0.00,0.00,682.00,23225.76
1.00,152.40,152.40,1.55,914.00,336.00,26.30,0.00,0.00,721.00,23225.76
1.00,152.40,152.40,1.55,914.00,336.00,26.30,0.00,0.00,733.00,23225.76
1.00,127.30,127.30,1.63,711.00,376.00,67.20,0.00,0.00,1285.00,16205.29
1.00,127.30,127.30,1.63,711.00,334.00,67.20,0.00,0.00,1285.00,16205.29
1.00,127.10,127.10,2.95,711.00,376.00,67.20,0.00,0.00,1305.00,16154.41
1.00,127.10,127.10,2.95,711.00,334.00,67.20,0.00,0.00,1305.00,16154.41
1.00,140.10,140.10,9.68,406.00,270.00,32.60,0.00,0.00,2949.00,19628.01
1.00,140.10,140.10,9.68,406.00,273.00,32.60,0.00,0.00,2949.00,19628.01
1.00,140.40,140.40,4.93,406.00,293.00,33.20,0.00,0.00,1824.00,19712.16
1.00,140.40,140.40,4.93,406.00,302.00,33.20,0.00,0.00,1824.00,19712.16
1.00,168.20,168.20,4.52,813.00,302.00,31.90,0.00,0.00,2006.00,28291.24
1.00,168.40,168.40,4.52,813.00,302.00,43.80,0.00,0.00,2233.00,28358.56
1.00,168.20,168.20,4.52,813.00,302.00,43.80,0.00,0.00,2113.00,28291.24
1.00,168.30,168.30,4.47,813.00,302.00,23.40,0.00,0.00,1744.00,28324.89
1.00,88.90,88.90,5.84,1727.00,406.00,41.50,0.00,0.00,614.70,7903.21
1.00,88.90,88.90,5.84,1422.00,406.00,41.50,0.00,0.00,711.70,7903.21
1.00,88.90,88.90,5.84,1118.00,406.00,41.50,0.00,0.00,715.20,7903.21
1.00,88.90,88.90,5.84,813.00,406.00,41.50,0.00,0.00,918.50,7903.21
1.00,88.90,88.90,5.84,508.00,406.00,41.50,0.00,0.00,991.90,7903.21
1.00,88.90,88.90,5.84,508.00,406.00,41.50,0.00,0.00,889.60,7903.21
1.00,82.55,82.55,1.40,1727.00,490.00,41.50,0.00,0.00,224.60,6814.5025
1.00,82.55,82.55,1.40,1422.00,490.00,41.50,0.00,0.00,294.50,6814.5025
1.00,82.55,82.55,1.40,1118.00,490.00,41.50,0.00,0.00,355.80,6814.5025
1.00,82.55,82.55,1.40,813.00,490.00,41.50,0.00,0.00,400.30,6814.5025
1.00,82.55,82.55,1.40,508.00,490.00,41.50,0.00,0.00,489.30,6814.5025
1.00,108.00,108.00,4.50,4158.00,348.10,25.40,0.00,0.00,342.00,11664
1.00,108.00,108.00,4.50,4158.00,348.10,25.40,0.00,0.00,292.00,11664
1.00,108.00,108.00,4.50,4158.00,348.10,37.40,0.00,0.00,298.00,11664
1.00,108.00,108.00,4.50,4158.00,348.10,37.40,0.00,0.00,280.00,11664
1.00,108.00,108.00,4.50,4023.00,348.10,37.40,0.00,0.00,318.00,11664
1.00,108.00,108.00,4.50,4023.00,348.10,37.40,0.00,0.00,320.00,11664
1.00,108.00,108.00,4.50,3807.00,348.10,25.40,0.00,0.00,350.00,11664
1.00,108.00,108.00,4.50,3807.00,348.10,25.40,0.00,0.00,370.00,11664
1.00,108.00,108.00,4.50,3510.00,348.10,25.40,0.00,0.00,400.00,11664
1.00,108.00,108.00,4.50,3510.00,348.10,25.40,0.00,0.00,390.00,11664
1.00,108.00,108.00,4.50,3510.00,348.10,37.40,0.00,0.00,440.00,11664
1.00,114.00,114.00,1.79,850.00,266.00,37.00,0.00,0.00,515.00,12996
1.00,114.00,114.00,3.35,850.00,291.00,37.00,0.00,0.00,785.00,12996
1.00,114.00,114.00,4.44,850.00,332.00,37.00,0.00,0.00,902.00,12996
1.00,114.00,114.00,6.00,850.00,486.00,37.00,0.00,0.00,1334.00,12996
1.00,114.00,114.00,5.91,1250.00,486.00,25.00,0.00,0.00,1177.00,12996
1.00,114.00,114.00,1.93,1750.00,266.00,33.00,0.00,0.00,461.00,12996
1.00,114.00,114.00,3.32,1750.00,291.00,30.00,0.00,0.00,628.00,12996
1.00,114.00,114.00,5.94,1750.00,486.00,37.00,0.00,0.00,1138.00,12996
1.00,114.00,114.00,1.78,2250.00,266.00,28.00,0.00,0.00,373.00,12996
1.00,114.00,114.00,3.31,2320.00,291.00,24.00,0.00,0.00,535.00,12996
1.00,114.00,114.00,6.14,2250.00,486.00,28.00,0.00,0.00,1000.00,12996
1.00,114.00,114.00,1.72,2750.00,266.00,36.00,0.00,0.00,353.00,12996
1.00,114.00,114.00,3.41,2750.00,291.00,36.00,0.00,0.00,569.00,12996
1.00,114.00,114.00,4.49,2750.00,332.00,31.00,0.00,0.00,657.00,12996
1.00,114.00,114.00,6.11,2750.00,486.00,33.00,0.00,0.00,941.00,12996
1.00,215.90,215.90,4.09,2220.00,292.00,22.90,0.00,0.00,1650.00,46612.81
1.00,215.90,215.90,4.09,2220.00,292.00,30.00,0.00,0.00,2264.00,46612.81
1.00,215.90,215.90,6.00,2220.00,392.00,22.90,0.00,0.00,2442.00,46612.81
1.00,215.90,215.90,6.00,2220.00,350.00,30.00,0.00,0.00,2869.00,46612.81
1.00,120.90,120.90,3.76,1050.00,312.00,21.10,0.00,0.00,721.00,14616.81
1.00,120.90,120.90,3.76,2310.00,312.00,21.10,0.00,0.00,636.00,14616.81
1.00,120.90,120.90,5.53,1050.00,343.00,21.10,0.00,0.00,1010.00,14616.81
1.00,120.90,120.90,5.53,1050.00,343.00,24.20,0.00,0.00,1090.00,14616.81
1.00,95.00,95.00,3.65,1370.00,350.00,25.00,0.00,0.00,667.00,9025
1.00,95.00,95.00,3.65,1420.00,350.00,25.00,0.00,0.00,583.00,9025
1.00,95.00,95.00,3.65,1980.00,350.00,25.00,0.00,0.00,529.00,9025
1.00,165.00,165.00,2.82,580.50,363.30,48.30,0.00,0.00,1661.60,27225
1.00,190.00,190.00,1.94,663.50,256.40,41.00,0.00,0.00,1678.20,36100
1.00,190.00,190.00,1.52,664.50,306.10,48.30,0.00,0.00,1694.80,36100
1.00,190.00,190.00,1.13,664.50,185.70,41.00,0.00,0.00,1376.60,36100
1.00,190.00,190.00,0.86,659.00,210.70,41.00,0.00,0.00,1349.90,36100
1.00,165.00,165.00,2.82,580.50,363.30,80.20,0.00,0.00,2295.00,27225
1.00,190.00,190.00,1.94,663.50,256.40,74.70,0.00,0.00,2592.00,36100
1.00,190.00,190.00,1.52,663.50,306.10,80.20,0.00,0.00,2602.00,36100
1.00,190.00,190.00,1.13,662.50,185.70,80.20,0.00,0.00,2295.00,36100
1.00,190.00,190.00,0.86,663.50,210.70,74.70,0.00,0.00,2451.00,36100
1.00,165.00,165.00,2.82,577.50,363.30,108.00,0.00,0.00,2673.00,27225
1.00,165.00,165.00,4.30,2440.00,317.70,43.30,0.00,0.00,1149.00,27225
1.00,160.00,160.00,4.50,2420.00,317.70,43.30,0.00,0.00,1561.00,25600
1.00,165.00,165.00,4.30,3640.00,317.70,43.30,0.00,0.00,987.00,27225
1.00,190.70,190.70,6.00,2300.00,505.00,55.90,0.00,0.00,2610.00,36366.49
1.00,190.70,190.70,6.00,2450.00,505.00,55.90,0.00,0.00,2060.00,36366.49
1.00,190.70,190.70,6.00,3450.00,505.00,48.40,0.00,0.00,2130.00,36366.49
1.00,166.00,166.00,5.00,1100.00,274.40,29.62,0.00,0.00,1985.00,27556
1.00,166.00,166.00,5.00,710.00,277.34,39.06,0.00,0.00,1656.20,27556
1.00,166.00,166.00,5.00,710.00,277.34,42.24,0.00,0.00,1906.10,27556
1.00,166.00,166.00,5.00,870.00,313.60,42.24,0.00,0.00,1827.70,27556
1.00,166.00,166.00,5.00,870.00,284.20,42.24,0.00,0.00,1862.00,27556
1.00,166.00,166.00,5.00,1700.00,294.00,42.24,0.00,0.00,1543.50,27556
1.00,166.00,166.00,5.00,1700.00,313.60,42.24,0.00,0.00,1460.20,27556
1.00,166.00,166.00,5.00,2700.00,289.10,28.09,0.00,0.00,1117.20,27556
1.00,166.00,166.00,5.00,2700.00,289.10,28.09,0.00,0.00,1271.06,27556
1.00,166.00,166.00,5.00,3700.00,287.14,28.09,0.00,0.00,983.92,27556
1.00,166.00,166.00,5.00,3700.00,287.14,28.09,0.00,0.00,958.44,27556
1.00,108.00,108.00,4.00,648.00,338.88,28.99,0.00,0.00,825.16,11664
1.00,108.00,108.00,4.00,648.00,338.88,28.99,0.00,0.00,828.10,11664
1.00,108.00,108.00,4.00,864.00,338.88,28.99,0.00,0.00,766.36,11664
1.00,108.00,108.00,4.00,864.00,338.88,28.99,0.00,0.00,801.64,11664
1.00,108.00,108.00,4.00,864.00,338.88,28.99,0.00,0.00,869.26,11664
1.00,108.00,108.00,4.00,1080.00,338.88,28.99,0.00,0.00,836.92,11664
1.00,108.00,108.00,4.00,1080.00,338.88,28.99,0.00,0.00,783.02,11664
1.00,108.00,108.00,4.00,1620.00,338.88,28.99,0.00,0.00,707.56,11664
1.00,108.00,108.00,4.00,1620.00,338.88,28.99,0.00,0.00,646.80,11664
1.00,108.00,108.00,4.00,1620.00,338.88,28.99,0.00,0.00,643.86,11664
1.00,108.00,108.00,4.00,2160.00,338.88,28.99,0.00,0.00,672.28,11664
1.00,108.00,108.00,4.00,2160.00,338.88,28.99,0.00,0.00,697.76,11664
1.00,108.00,108.00,4.00,2160.00,338.88,28.99,0.00,0.00,676.20,11664
1.00,108.00,108.00,4.00,2700.00,338.88,28.99,0.00,0.00,648.76,11664
1.00,108.00,108.00,4.00,3240.00,338.88,28.99,0.00,0.00,559.58,11664
1.00,108.00,108.00,4.00,3240.00,338.88,28.99,0.00,0.00,478.24,11664
1.00,108.00,108.00,4.00,3240.00,338.88,28.99,0.00,0.00,600.74,11664
1.00,108.00,108.00,4.00,4320.00,338.88,28.99,0.00,0.00,373.38,11664
1.00,108.00,108.00,4.00,4320.00,338.88,28.99,0.00,0.00,345.94,11664
1.00,108.00,108.00,4.00,4320.00,338.88,28.99,0.00,0.00,294.00,11664
1.00,108.00,108.00,4.00,5400.00,338.88,28.99,0.00,0.00,225.40,11664
1.00,108.00,108.00,4.00,5400.00,338.88,28.99,0.00,0.00,210.70,11664
1.00,108.00,108.00,4.00,5560.00,338.88,28.99,0.00,0.00,212.50,11664
1.00,104.00,104.00,2.00,524.00,344.00,32.65,0.00,0.00,540.00,10816
1.00,105.00,105.00,2.50,530.00,344.00,35.65,0.00,0.00,613.00,11025
1.00,106.00,106.00,3.00,536.00,344.00,33.47,0.00,0.00,674.00,11236
1.00,107.00,107.00,3.50,542.00,379.80,31.87,0.00,0.00,835.00,11449
1.00,107.00,107.00,4.00,542.00,379.80,31.87,0.00,0.00,889.00,11449
1.00,108.00,108.00,4.50,548.00,344.00,33.50,0.00,0.00,917.00,11664
1.00,108.00,108.00,5.00,548.00,379.80,33.50,0.00,0.00,1084.00,11664
1.00,160.00,160.00,2.50,960.00,433.20,32.22,0.00,0.00,1426.00,25600
1.00,140.00,140.00,2.50,840.00,433.20,38.88,0.00,0.00,1124.00,19600
1.00,140.00,140.00,3.00,840.00,426.30,33.06,0.00,0.00,1208.00,19600
1.00,100.00,100.00,2.50,600.00,433.20,45.77,0.00,0.00,750.00,10000
1.00,100.00,100.00,3.00,600.00,426.30,29.13,0.00,0.00,723.00,10000
1.00,200.00,200.00,2.00,930.00,237.20,24.24,0.00,0.00,1411.00,40000
1.00,210.00,210.00,2.50,1040.00,237.20,27.07,0.00,0.00,1607.00,44100
1.00,210.00,210.00,3.00,1040.00,233.20,27.07,0.00,0.00,1705.00,44100
1.00,180.00,180.00,3.00,860.00,233.20,24.24,0.00,0.00,1352.00,32400
1.00,166.00,166.00,5.00,1040.00,288.10,54.33,0.00,0.00,1862.00,27556
1.00,166.00,166.00,5.00,1040.00,288.10,43.89,0.00,0.00,1764.00,27556
1.00,166.00,166.00,5.00,1040.00,288.10,26.73,0.00,0.00,1372.00,27556
1.00,166.00,166.00,5.00,1040.00,288.10,29.72,0.00,0.00,1495.00,27556
1.00,166.00,166.00,5.00,1040.00,288.10,23.00,0.00,0.00,1392.00,27556
1.00,166.00,166.00,5.00,1040.00,288.10,44.11,0.00,0.00,1695.00,27556
1.00,166.00,166.00,5.00,1040.00,288.10,55.65,0.00,0.00,1852.00,27556
1.00,166.00,166.00,5.00,1040.00,288.10,37.75,0.00,0.00,1627.00,27556
1.00,140.00,140.00,5.30,840.00,378.30,21.86,0.00,0.00,1326.00,19600
1.00,140.00,140.00,5.00,840.00,378.30,30.58,0.00,0.00,1379.00,19600
1.00,140.00,140.00,5.00,840.00,378.30,34.92,0.00,0.00,1501.00,19600
1.00,140.00,140.00,5.30,840.00,378.30,51.50,0.00,0.00,1664.00,19600
1.00,140.00,140.00,5.00,840.00,378.30,42.25,0.00,0.00,1539.00,19600
1.00,92.00,92.00,3.00,460.00,260.70,20.71,0.00,0.00,501.00,8464
1.00,92.00,92.00,3.00,920.00,260.70,20.71,0.00,0.00,431.00,8464
1.00,92.00,92.00,3.00,1380.00,260.70,20.71,0.00,0.00,409.00,8464
1.00,108.00,108.00,4.50,648.00,259.70,20.22,0.00,0.00,665.00,11664
1.00,108.00,108.00,4.50,972.00,259.70,20.22,0.00,0.00,666.00,11664
1.00,108.00,108.00,4.50,1296.00,259.70,20.22,0.00,0.00,563.00,11664
1.00,108.00,108.00,4.50,1620.00,259.70,20.22,0.00,0.00,524.00,11664
1.00,108.00,108.00,4.50,1994.00,259.70,20.22,0.00,0.00,495.00,11664
1.00,108.00,108.00,4.00,540.00,327.10,39.23,0.00,0.00,836.00,11664
1.00,108.00,108.00,4.00,756.00,337.60,35.33,0.00,0.00,785.00,11664
1.00,108.00,108.00,4.00,972.00,337.60,33.54,0.00,0.00,736.00,11664
1.00,108.00,108.00,4.00,1188.00,327.10,34.03,0.00,0.00,686.00,11664
1.00,108.00,108.00,4.00,1404.00,332.00,33.15,0.00,0.00,686.00,11664
1.00,108.00,108.00,4.00,1620.00,347.70,33.15,0.00,0.00,672.00,11664
1.00,108.00,108.00,4.20,648.00,259.70,20.54,0.00,0.00,722.00,11664
1.00,108.00,108.00,4.20,972.00,259.70,22.84,0.00,0.00,640.00,11664
1.00,210.00,210.00,2.50,1040.00,237.20,27.07,0.00,0.00,1607.00,44100
1.00,210.00,210.00,2.50,1670.00,237.20,26.56,0.00,0.00,1323.00,44100
1.00,165.20,165.20,4.17,1322.00,358.70,40.90,0.00,0.00,1445.00,27291.04
1.00,165.20,165.20,4.17,1982.00,358.70,40.90,0.00,0.00,1305.00,27291.04
1.00,165.20,165.20,4.17,2974.00,358.70,40.90,0.00,0.00,1180.00,27291.04
1.00,165.20,165.20,4.17,3965.00,358.70,40.90,0.00,0.00,956.00,27291.04
1.00,165.20,165.20,4.17,4956.00,358.70,40.90,0.00,0.00,800.00,27291.04
1.00,165.00,165.00,4.70,2475.00,355.00,33.40,0.00,0.00,1058.00,27225
1.00,165.00,165.00,4.70,2476.00,355.00,33.40,0.00,0.00,1037.00,27225
1.00,165.00,165.00,4.70,2477.00,355.00,10.00,0.00,0.00,800.00,27225
1.00,165.00,165.00,4.70,2478.00,355.00,10.00,0.00,0.00,834.00,27225
1.00,110.00,110.00,1.90,2200.00,350.00,33.40,0.00,0.00,437.00,12100
1.00,110.00,110.00,1.90,2200.00,350.00,33.40,0.00,0.00,368.00,12100
1.00,110.00,110.00,1.90,2200.00,350.00,33.40,0.00,0.00,355.00,12100
1.00,110.00,110.00,1.90,2200.00,350.00,33.40,0.00,0.00,374.00,12100
1.00,110.00,110.00,1.90,2200.00,350.00,10.00,0.00,0.00,269.00,12100
1.00,110.00,110.00,1.90,2200.00,350.00,10.00,0.00,0.00,252.00,12100
1.00,110.00,110.00,1.90,2200.00,350.00,10.00,0.00,0.00,211.00,12100
1.00,110.00,110.00,1.90,2200.00,350.00,10.00,0.00,0.00,219.00,12100
1.00,108.00,108.00,4.00,540.00,332.02,40.40,0.00,0.00,835.90,11664
1.00,108.00,108.00,4.50,445.00,409.64,28.60,0.00,0.00,970.20,11664
1.00,108.00,108.00,4.50,485.00,409.64,28.60,0.00,0.00,1205.40,11664
1.00,140.00,140.00,5.00,840.00,378.28,45.10,0.00,0.00,1667.00,19600
1.00,108.00,108.00,4.50,970.00,259.70,32.20,0.00,0.00,740.90,11664
1.00,220.00,220.00,10.00,2400.00,224.22,36.60,0.00,0.00,1729.30,48400
1.00,152.00,152.00,7.00,912.00,283.22,42.90,0.00,0.00,1693.40,23104
1.00,140.00,140.00,5.50,840.00,333.20,42.90,0.00,0.00,1379.80,19600
1.00,164.00,164.00,6.00,1700.00,356.82,31.50,0.00,0.00,1633.70,26896
1.00,95.00,95.00,3.50,860.00,348.88,26.20,0.00,0.00,665.40,9025
1.00,95.00,95.00,3.50,1420.00,348.88,26.20,0.00,0.00,582.10,9025
1.00,121.00,121.00,4.00,1050.00,311.15,22.20,0.00,0.00,702.70,14641
1.00,121.00,121.00,4.00,1050.00,317.03,26.50,0.00,0.00,851.60,14641
1.00,121.00,121.00,6.00,1050.00,349.37,22.20,0.00,0.00,1007.40,14641
1.00,121.00,121.00,6.00,1050.00,325.85,26.50,0.00,0.00,1088.80,14641
1.00,216.00,216.00,6.00,2220.00,391.02,24.10,0.00,0.00,2440.20,46656
1.00,216.00,216.00,6.00,2220.00,379.26,31.40,0.00,0.00,2865.50,46656
1.00,216.00,216.00,4.00,2220.00,289.39,24.10,0.00,0.00,1868.90,46656
1.00,216.00,216.00,4.00,2220.00,287.14,31.40,0.00,0.00,2261.80,46656
1.00,153.00,153.00,3.20,1679.00,413.56,21.80,0.00,0.00,901.60,23409
1.00,101.00,101.00,3.40,1530.00,602.70,32.20,0.00,0.00,802.60,10201
1.00,121.00,121.00,4.80,1048.00,449.82,33.90,0.00,0.00,1146.60,14641
1.00,121.00,121.00,4.80,1048.00,449.82,29.10,0.00,0.00,1078.00,14641
1.00,121.00,121.00,4.80,1048.00,449.82,25.60,0.00,0.00,940.80,14641
1.00,210.00,210.00,2.50,1670.00,235.20,27.70,0.00,0.00,1323.00,44100
1.00,108.00,108.00,4.00,756.00,337.61,36.30,0.00,0.00,785.00,11664
1.00,108.00,108.00,4.00,972.00,337.61,34.50,0.00,0.00,737.00,11664
1.00,108.00,108.00,4.00,1404.00,332.02,34.10,0.00,0.00,686.00,11664
1.00,108.00,108.00,4.00,1620.00,351.23,34.10,0.00,0.00,637.00,11664
1.00,140.00,140.00,5.00,840.00,378.28,23.10,0.00,0.00,1283.80,19600
1.00,140.00,140.00,5.00,840.00,378.28,31.60,0.00,0.00,1391.60,19600
1.00,140.00,140.00,5.00,840.00,378.28,45.10,0.00,0.00,1685.60,19600
1.00,140.00,140.00,5.00,840.00,178.28,51.00,0.00,0.00,1705.20,19600
1.00,100.00,100.00,2.50,600.00,244.02,43.40,0.00,0.00,686.00,10000
1.00,100.00,100.00,2.00,900.00,236.18,43.40,0.00,0.00,587.00,10000
1.00,100.00,100.00,2.00,600.00,236.18,36.70,0.00,0.00,558.60,10000
1.00,100.00,100.00,2.00,600.00,236.18,36.70,0.00,0.00,512.50,10000
1.00,100.00,100.00,4.50,1080.00,259.70,28.10,0.00,0.00,743.80,10000
1.00,106.00,106.00,3.50,1080.00,259.70,28.10,0.00,0.00,559.60,11236
1.00,104.00,104.00,2.50,1080.00,259.70,28.10,0.00,0.00,433.20,10816
1.00,108.00,108.00,4.00,1188.00,327.12,35.00,0.00,0.00,686.00,11664
1.00,169.00,169.00,7.50,1768.00,360.00,70.80,0.00,0.00,2870.00,28561
1.00,76.00,76.00,2.00,1555.00,275.00,41.60,0.00,0.00,355.00,5776
1.00,76.00,76.00,2.00,1556.00,275.00,41.60,0.00,0.00,330.00,5776
1.00,219.00,219.00,6.00,1000.00,325.00,58.00,0.00,0.00,2989.00,47961
1.00,219.00,219.00,4.00,1000.00,325.00,47.60,0.00,0.00,1931.00,47961
1.00,219.00,219.00,4.00,1000.00,325.00,52.30,0.00,0.00,1980.00,47961
1.00,219.00,219.00,7.00,1640.00,273.00,38.20,0.00,0.00,2956.00,47961
1.00,219.00,219.00,7.00,1640.00,273.00,38.20,0.00,0.00,2956.00,47961
1.00,219.00,219.00,7.00,1640.00,273.00,38.20,0.00,0.00,2956.00,47961
1.00,114.30,114.30,3.35,571.50,287.33,32.68,0.00,0.00,739.50,13064.49
1.00,114.30,114.30,3.35,800.00,287.33,32.68,0.00,0.00,631.50,13064.49
1.00,114.30,114.30,3.35,1143.00,287.33,32.68,0.00,0.00,599.30,13064.49
1.00,114.30,114.30,3.35,571.50,287.33,58.68,0.00,0.00,902.90,13064.49
1.00,114.30,114.30,3.35,800.00,287.33,58.68,0.00,0.00,868.50,13064.49
1.00,114.30,114.30,3.35,1143.00,287.33,58.68,0.00,0.00,809.20,13064.49
1.00,114.30,114.30,3.35,571.50,287.33,88.78,0.00,0.00,1180.70,13064.49
1.00,114.30,114.30,3.35,800.00,287.33,88.78,0.00,0.00,1198.30,13064.49
1.00,114.30,114.30,3.35,1143.00,287.33,88.78,0.00,0.00,1111.60,13064.49
1.00,114.30,114.30,3.35,571.50,287.33,105.45,0.00,0.00,1407.10,13064.49
1.00,114.30,114.30,3.35,800.00,287.33,105.45,0.00,0.00,1375.80,13064.49
1.00,114.30,114.30,3.35,1143.00,287.33,105.45,0.00,0.00,1319.90,13064.49
1.00,114.30,114.30,6.00,571.50,342.95,32.68,0.00,0.00,1016.60,13064.49
1.00,114.30,114.30,6.00,800.00,342.95,32.68,0.00,0.00,1057.10,13064.49
1.00,114.30,114.30,6.00,1143.00,342.95,32.68,0.00,0.00,872.20,13064.49
1.00,114.30,114.30,6.00,571.50,342.95,58.68,0.00,0.00,1263.20,13064.49
1.00,114.30,114.30,6.00,800.00,342.95,58.68,0.00,0.00,1190.00,13064.49
1.00,114.30,114.30,6.00,1143.00,342.95,58.68,0.00,0.00,1120.60,13064.49
1.00,114.30,114.30,6.00,571.50,342.95,88.78,0.00,0.00,1448.10,13064.49
1.00,114.30,114.30,6.00,800.00,342.95,88.78,0.00,0.00,1400.60,13064.49
1.00,114.30,114.30,6.00,1143.00,342.95,88.78,0.00,0.00,1442.40,13064.49
1.00,114.30,114.30,6.00,571.50,342.95,105.45,0.00,0.00,1607.40,13064.49
1.00,114.30,114.30,6.00,800.00,342.95,105.45,0.00,0.00,1622.50,13064.49
1.00,114.30,114.30,6.00,1143.00,342.95,105.45,0.00,0.00,1574.30,13064.49
1.00,114.30,114.30,6.00,571.50,342.95,73.30,0.00,0.00,1308.50,13064.49
1.00,114.30,114.30,6.00,800.00,342.95,22.50,0.00,0.00,925.90,13064.49
1.00,114.30,114.30,6.00,1143.00,342.95,58.20,0.00,0.00,1126.90,13064.49
1.00,160.10,160.10,4.98,2000.00,280.00,40.00,0.00,0.00,1261.00,25632.01
1.00,160.20,160.20,4.96,2500.00,281.00,41.00,0.00,0.00,1244.00,25664.04
1.00,160.30,160.30,5.00,3000.00,270.00,43.00,0.00,0.00,1236.00,25696.09
1.00,160.20,160.20,4.97,3500.00,273.00,41.00,0.00,0.00,1193.00,25664.04
1.00,159.90,159.90,4.98,4000.00,281.00,45.00,0.00,0.00,1091.00,25568.01
1.00,159.80,159.80,5.01,2000.00,283.00,70.00,0.00,0.00,1650.00,25536.04
1.00,159.70,159.70,5.20,2500.00,281.00,71.00,0.00,0.00,1562.00,25504.09
1.00,159.80,159.80,5.10,3000.00,276.00,73.00,0.00,0.00,1468.00,25536.04
1.00,160.10,160.10,4.98,3500.00,276.00,74.00,0.00,0.00,1326.00,25632.01
1.00,160.20,160.20,5.02,4000.00,281.00,71.00,0.00,0.00,1231.00,25664.04
1.00,160.30,160.30,5.03,2000.00,281.00,99.00,0.00,0.00,2000.00,25696.09
1.00,159.80,159.80,5.01,2500.00,275.00,100.00,0.00,0.00,1818.00,25536.04
1.00,159.70,159.70,4.97,3000.00,275.00,101.00,0.00,0.00,1636.00,25504.09
1.00,159.60,159.60,4.98,3500.00,270.00,106.00,0.00,0.00,1454.00,25472.16
1.00,159.80,159.80,4.97,4000.00,270.00,102.00,0.00,0.00,1333.00,25536.04
1.00,218.25,218.25,6.05,4365.00,302.04,39.32,0.00,0.00,1716.16,47633.0625
1.00,218.25,218.25,6.45,3285.00,302.04,42.17,0.00,0.00,2064.30,47633.0625
1.00,218.25,218.25,6.30,2204.00,302.04,37.07,0.00,0.00,2412.44,47633.0625
1.00,218.25,218.25,6.50,943.00,302.04,37.07,0.00,0.00,2755.67,47633.0625
1.00,218.50,218.50,6.38,941.50,302.04,37.07,0.00,0.00,2745.86,47742.25
1.00,219.25,219.25,6.05,941.50,302.04,37.07,0.00,0.00,2804.70,48070.5625
1.00,95.00,95.00,3.80,4318.00,281.45,39.32,0.00,0.00,202.02,9025
1.00,95.25,95.25,3.78,2844.00,281.45,42.17,0.00,0.00,279.49,9072.5625
1.00,95.25,95.25,3.70,2844.00,281.45,42.17,0.00,0.00,281.45,9072.5625
1.00,95.50,95.50,3.83,2844.00,281.45,42.17,0.00,0.00,291.26,9120.25
1.00,95.50,95.50,3.73,1942.50,281.45,37.07,0.00,0.00,362.85,9120.25
1.00,95.25,95.25,3.78,1942.00,281.45,37.07,0.00,0.00,406.98,9072.5625
1.00,95.25,95.25,3.78,1943.25,281.45,37.07,0.00,0.00,406.98,9072.5625
1.00,95.50,95.50,3.75,1469.00,281.45,42.17,0.00,0.00,444.24,9120.25
1.00,95.25,95.25,3.73,1466.75,281.45,42.17,0.00,0.00,441.30,9072.5625
1.00,95.00,95.00,3.70,1468.00,281.45,42.17,0.00,0.00,495.24,9025
1.00,95.50,95.50,3.70,997.50,281.45,42.17,0.00,0.00,524.66,9120.25
1.00,95.25,95.25,3.55,992.00,281.45,42.17,0.00,0.00,507.00,9072.5625
1.00,95.25,95.25,3.68,995.00,281.45,42.17,0.00,0.00,534.46,9072.5625
1.00,95.25,95.25,3.73,504.00,281.45,42.17,0.00,0.00,637.43,9072.5625
1.00,95.50,95.50,3.75,503.75,281.45,42.17,0.00,0.00,632.53,9120.25
1.00,95.50,95.50,3.73,505.00,281.45,42.17,0.00,0.00,666.85,9120.25
1.00,204.00,204.00,2.00,880.00,235.36,12.16,0.00,0.00,1068.92,41616
1.00,204.00,204.00,2.00,880.00,235.36,12.16,0.00,0.00,1039.50,41616
1.00,204.00,204.00,2.00,840.00,235.36,33.44,0.00,0.00,1294.48,41616
1.00,204.00,204.00,2.00,840.00,235.36,46.09,0.00,0.00,1637.71,41616
1.00,204.00,204.00,2.00,840.00,235.36,46.88,0.00,0.00,1691.65,41616
1.00,96.00,96.00,5.00,410.00,410.90,12.16,0.00,0.00,912.02,9216
1.00,96.00,96.00,5.00,450.00,410.90,12.16,0.00,0.00,843.37,9216
1.00,96.00,96.00,5.00,450.00,410.90,33.44,0.00,0.00,1044.41,9216
1.00,96.00,96.00,5.00,450.00,410.90,33.44,0.00,0.00,1166.99,9216
1.00,96.00,96.00,5.00,400.00,410.90,46.09,0.00,0.00,1176.80,9216
1.00,96.00,96.00,5.00,400.00,410.90,46.09,0.00,0.00,1171.89,9216
1.00,96.00,96.00,5.00,400.00,410.90,46.09,0.00,0.00,1073.83,9216
1.00,96.00,96.00,5.00,405.00,410.90,46.09,0.00,0.00,1122.86,9216
1.00,121.00,121.00,12.00,500.00,294.20,12.16,0.00,0.00,2417.34,14641
1.00,121.00,121.00,12.00,500.00,294.20,12.16,0.00,0.00,2373.21,14641
1.00,121.00,121.00,12.00,500.00,294.20,33.44,0.00,0.00,2500.70,14641
1.00,166.00,166.00,5.00,660.00,274.59,31.38,0.00,0.00,1745.58,27556
1.00,166.00,166.00,5.00,660.00,274.59,31.38,0.00,0.00,1696.55,27556
