shap,b,h,t,l,fy,fc,et,eb,n,A
1.00,165.00,165.00,2.82,577.50,363.30,108.00,0.00,0.00,2673.00,27225
1.00,111.30,111.30,2.00,339.00,354.60,60.75,0.00,0.00,855.00,12387.69
1.00,113.60,113.60,3.20,338.00,354.60,60.75,0.00,0.00,1145.00,12904.96
1.00,114.80,114.80,3.90,338.00,357.70,60.75,0.00,0.00,1116.00,13179.04
1.00,115.90,115.90,4.90,356.00,309.50,60.75,0.00,0.00,1174.00,13432.81
1.00,130.60,130.60,2.30,396.00,324.30,60.75,0.00,0.00,1250.00,17056.36
1.00,133.10,133.10,4.50,397.00,324.30,60.75,0.00,0.00,1535.00,17715.61
1.00,141.80,141.80,4.30,419.00,433.00,60.75,0.00,0.00,1618.00,20107.24
1.00,165.70,165.70,5.10,497.00,373.30,60.75,0.00,0.00,2309.00,27456.49
1.00,101.30,101.30,1.50,310.00,264.90,21.90,0.00,0.00,370.00,10261.69
1.00,102.30,102.30,1.52,310.00,264.90,21.90,0.00,0.00,485.00,10465.29
1.00,104.20,104.20,2.44,310.00,264.90,21.90,0.00,0.00,450.00,10857.64
1.00,105.00,105.00,2.06,310.00,264.90,18.40,0.00,0.00,539.00,11025
1.00,105.10,105.10,2.85,310.00,264.90,18.40,0.00,0.00,550.00,11046.01
1.00,107.90,107.90,4.32,310.00,264.90,18.40,0.00,0.00,686.00,11642.41
1.00,107.90,107.90,4.32,424.00,264.90,18.40,0.00,0.00,727.00,11642.41
1.00,107.90,107.90,4.32,424.00,264.90,18.40,0.00,0.00,734.00,11642.41
1.00,107.90,107.90,4.32,424.00,264.90,18.40,0.00,0.00,803.00,11642.41
1.00,153.90,153.90,1.80,470.00,356.10,18.40,0.00,0.00,981.00,23685.21
1.00,154.20,154.20,2.65,470.00,356.10,18.40,0.00,0.00,1294.00,23777.64
1.00,155.60,155.60,2.63,470.00,356.10,23.00,0.00,0.00,1300.00,24211.36
1.00,159.30,159.30,5.25,470.00,356.10,21.90,0.00,0.00,1577.00,25376.49
1.00,160.20,160.20,5.40,470.00,356.10,21.90,0.00,0.00,1775.00,25664.04
1.00,159.80,159.80,5.08,470.00,356.10,21.90,0.00,0.00,1746.00,25536.04
1.00,111.30,111.30,2.00,399.00,354.60,42.70,0.00,0.00,840.00,12387.69
1.00,113.60,113.60,3.20,337.00,354.60,42.70,0.00,0.00,1141.00,12904.96
1.00,113.60,113.60,3.20,338.00,354.60,42.70,0.00,0.00,1091.00,12904.96
1.00,113.60,113.60,3.20,336.00,354.60,42.70,0.00,0.00,1139.00,12904.96
1.00,114.80,114.80,3.90,335.00,357.70,42.70,0.00,0.00,1041.00,13179.04
1.00,114.80,114.80,3.90,338.00,357.70,42.70,0.00,0.00,1110.00,13179.04
1.00,114.80,114.80,3.90,343.00,357.70,42.70,0.00,0.00,1030.00,13179.04
1.00,115.90,115.90,4.90,356.00,309.50,42.70,0.00,0.00,1122.00,13432.81
1.00,115.90,115.90,4.90,344.00,309.50,42.70,0.00,0.00,1234.00,13432.81
1.00,115.90,115.90,4.90,340.00,309.50,42.70,0.00,0.00,1102.00,13432.81
1.00,115.90,115.90,4.90,357.00,309.50,42.70,0.00,0.00,1140.00,13432.81
1.00,130.10,130.10,2.30,396.00,324.30,42.70,0.00,0.00,1240.00,16926.01
1.00,133.10,133.10,4.50,397.00,324.30,42.70,0.00,0.00,1440.00,17715.61
1.00,158.70,158.70,0.90,450.00,221.00,18.70,0.00,0.00,699.70,25185.69
1.00,157.50,157.50,1.50,450.00,308.00,18.70,0.00,0.00,815.40,24806.25
1.00,157.70,157.70,2.14,450.00,286.00,18.70,0.00,0.00,907.50,24869.29
1.00,204.00,204.00,2.00,840.00,235.20,28.45,0.00,0.00,1294.00,41616
1.00,204.00,204.00,2.00,840.00,235.20,39.53,0.00,0.00,1637.00,41616
1.00,204.00,204.00,2.00,840.00,235.20,40.28,0.00,0.00,1691.00,41616
1.00,96.00,96.00,5.00,450.00,410.60,28.45,0.00,0.00,1044.00,9216
1.00,96.00,96.00,5.00,450.00,410.60,28.45,0.00,0.00,1166.00,9216
1.00,96.00,96.00,5.00,400.00,410.60,39.53,0.00,0.00,1176.00,9216
1.00,96.00,96.00,5.00,400.00,410.60,39.53,0.00,0.00,1171.00,9216
1.00,96.00,96.00,5.00,400.00,410.60,39.53,0.00,0.00,1073.00,9216
1.00,96.00,96.00,5.00,405.00,410.60,39.53,0.00,0.00,1122.00,9216
1.00,166.00,166.00,5.00,660.00,274.40,26.56,0.00,0.00,1744.00,27556
1.00,166.00,166.00,5.00,660.00,274.40,26.56,0.00,0.00,1695.00,27556
1.00,166.00,166.00,5.00,660.00,274.40,29.62,0.00,0.00,1862.00,27556
1.00,166.00,166.00,5.00,660.00,274.40,29.62,0.00,0.00,1872.00,27556
1.00,166.00,166.00,5.00,660.00,274.40,29.62,0.00,0.00,1695.00,27556
